,Sequence_141,Sequence_140,Sequence_139,Sequence_138,Sequence_137,Sequence_136,Sequence_135,Sequence_134,Sequence_133,Sequence_132,Sequence_131,Sequence_130,Sequence_129,Sequence_128,Sequence_127,Sequence_126,Sequence_125,Sequence_124,Sequence_123,Sequence_122,Sequence_121,Sequence_120,Sequence_119,Sequence_118,Sequence_117,Sequence_116,Sequence_115,Sequence_114,Sequence_113,Sequence_112,Sequence_111,Sequence_110,Sequence_109,Sequence_108,Sequence_107,Sequence_106,Sequence_105,Sequence_104,Sequence_103,Sequence_102,Sequence_101,Sequence_100,Sequence_99,Sequence_98,Sequence_97,Sequence_96,Sequence_95,Sequence_94,Sequence_93,Sequence_92,Sequence_91,Sequence_90,Sequence_89,Sequence_88,Sequence_87,Sequence_86,Sequence_85,Sequence_84,Sequence_83,Sequence_82,Sequence_81,Sequence_80,Sequence_79,Sequence_78,Sequence_77,Sequence_76,Sequence_75,Sequence_74,Sequence_73,Sequence_72,Sequence_71,Sequence_70,Sequence_69,Sequence_68,Sequence_67,Sequence_66,Sequence_65,Sequence_64,Sequence_63,Sequence_62,Sequence_61,Sequence_60,Sequence_59,Sequence_58,Sequence_57,Sequence_56,Sequence_55,Sequence_54,Sequence_53,Sequence_52,Sequence_51,Sequence_50,Sequence_49,Sequence_48,Sequence_47,Sequence_46,Sequence_45,Sequence_44,Sequence_43,Sequence_42,Sequence_41,Sequence_40,Sequence_39,Sequence_38,Sequence_37,Sequence_36,Sequence_35,Sequence_34,Sequence_33,Sequence_32,Sequence_31,Sequence_30,Sequence_29,Sequence_28,Sequence_27,Sequence_26,Sequence_25,Sequence_24,Sequence_23,Sequence_22,Sequence_21,Sequence_20,Sequence_19,Sequence_18,Sequence_17,Sequence_16,Sequence_15,Sequence_14,Sequence_13,Sequence_12,Sequence_11,Sequence_10,Sequence_9,Sequence_8,Sequence_7,Sequence_6,Sequence_5,Sequence_4,Sequence_3,Sequence_2
Sequence_95,2.14007997,0.98093014,1.27691871,1.96920056,2.15649885,2.04232292,2.96196176,2.22415601,2.00331063,3.18015129,1.41526454,1.70158305,3.1240817,3.56827363,9.12412581,51.36755643,54.11442441,2.70642093,2.64801942,2.31735465,3.03570393,2.17674426,3.5278854,38.43561885,1.91121853,35.13381494,41.29396548,2.60014469,5.71490089,4.07980408,53.13426255,53.45751239,53.08334972,11.39584929,3.73538561,49.46987221,50.89571424,1.9912346,2.2494441,1.85241604,2.12939903,2.25432101,2.46231756,1.99170355,2.95909918,4.32638122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_94,1.88876185,0.92633115,0.92633115,1.57338165,1.64911963,1.52607958,1.37613774,1.77455871,1.58324428,1.92263595,1.02927022,0.89731836,8.50601952,3.26517689,55.65937714,5.21016333,5.10204247,2.84929652,2.82942692,2.95493756,2.50899853,2.85984575,6.33696029,4.75422598,2.05327039,3.50750413,6.21449877,1.58604597,2.77408979,4.3583221,50.25721998,50.56355504,50.18970835,47.90859741,5.00610469,53.28166634,43.61727133,1.9153298,2.15912246,1.96003489,2.08221947,2.13297565,2.21352302,2.16430648,1.74524638,2.77383421,1.9286952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_93,6.44065044,36.09528169,36.09528169,4.87051588,4.26523193,3.66014008,4.4196686,5.21661474,3.9634413,34.81690867,12.26562406,9.39874659,47.26622438,25.09508854,49.01520184,13.58272047,48.94898154,5.34335428,5.45096459,5.49514429,3.27847703,5.26375498,54.75539579,24.15715091,4.54208508,21.46517852,13.83330905,4.72652545,3.14315724,12.89226459,45.69910313,45.69910313,45.69910313,50.23792084,3.98861586,30.04965716,38.52805052,5.87573198,5.8179056,6.22653587,6.00206163,12.38686747,6.74794713,5.66045003,11.33226929,11.2823588,6.68196293,6.69089645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_92,2.6622463,2.88944211,3.11111348,3.85474036,3.27629735,3.36442735,3.81178605,3.19421392,2.43217517,4.46345619,2.65241402,2.70590721,5.99883595,3.41475055,51.78469806,9.68363038,3.52654928,45.76143868,51.89983985,5.92178439,50.67320839,5.12154059,2.88354211,3.16029294,6.41284736,3.66054986,49.6519112,2.59294008,2.94400299,4.52589951,8.6143456,8.6143456,8.6143456,50.82630242,43.44162099,2.37087935,20.19335041,4.35655626,5.12114421,4.89396928,3.77836892,4.16643511,4.29772445,3.31145601,4.16764787,3.04985561,3.45239987,3.81967977,14.36826217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_91,2.06382281,1.65771603,2.03965402,2.59091994,2.59091994,2.85014296,2.54527705,2.94724382,2.58759389,3.01349808,1.5584949,1.49958646,6.28625569,3.55181283,45.24768892,5.85204773,?,1.79936856,3.36999574,4.23980323,2.7224476,3.35347323,2.24577583,5.65963415,2.57315972,4.16504242,5.35316403,3.80358607,3.86802971,3.14489215,49.40688416,49.81201488,49.304178,14.54893543,5.59358205,52.61269417,42.16536915,0.0489243,0.09827264,0.14867133,0.09224642,0.20123446,0.148897,0.14118679,1.57306804,1.83543649,1.9912346,1.9153298,5.87573198,4.35655626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_90,1.85249687,0.14597928,0.14597928,0.77611199,0.61904881,0.61904881,0.63002722,0.61904881,0.94032424,0.6239051,0.78345976,0.78345976,8.51697033,3.56202689,3.0202938,3.25709377,3.45117538,2.68045756,3.70798943,2.74521307,4.47594106,3.8099765,2.79395112,4.08926609,3.12817637,4.74062039,23.62419622,2.83931398,2.41035167,1.71444531,8.40831008,8.84012194,8.39579611,2.95604316,8.80715712,54.09002209,15.41826743,2.09866644,2.07335753,1.82943856,1.88733225,1.55998998,1.55998998,1.93363154,2.20200943,1.96381868,2.9800228,1.75591755,34.56619521,3.2153799,2.09866644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_89,1.59958766,0.000001,0.000001,0.49140943,0.35280526,0.35280526,0.36123938,0.35280526,0.79673138,0.6239051,0.59613765,0.59613765,7.58875678,3.72391854,2.85267155,3.1794594,3.60226344,2.4937263,4.25294955,2.83774222,5.6486326,3.8099765,2.56685122,3.78021399,3.00214676,4.3612597,22.92160998,2.71364713,2.68933883,1.72318995,8.31596017,8.75848703,8.3075291,2.95604316,8.80715712,51.84789021,15.40698545,2.150219,2.12481306,1.82943856,1.94121666,1.62193503,1.62193503,1.98385499,2.24349691,2.01018844,3.05401064,1.65591516,33.55770037,2.88809282,2.150219,0.13820563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_88,1.74659831,0.000001,0.000001,0.61845242,0.47393173,0.47393173,0.48365928,0.47393173,0.94032424,0.51800501,0.64178438,0.64178438,7.74869625,3.72401055,2.85267155,3.1794594,3.44985052,2.44239828,4.08739661,2.78524674,4.66214998,3.75905052,2.51573119,3.97993067,3.00881826,4.62225655,25.53087176,2.87974206,2.62622699,1.70047943,8.39973189,8.84191828,8.38732646,2.95604316,8.80715712,51.84789021,15.57185227,2.24722954,2.22050638,1.97164894,2.03312526,1.7128173,1.7128173,2.07131823,2.33367021,2.11144958,2.9800228,1.739317,35.35971025,3.08557479,2.24722954,0.06722555,0.06722555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_87,3.12991913,1.58505425,2.00928611,3.11751995,3.11751995,3.09756998,3.2364118,2.70272665,2.41388629,3.09928365,3.29190071,3.20701234,45.38751767,44.10209616,4.83000461,2.43158531,5.58198279,3.72027157,4.85888949,3.69461731,3.36627205,7.75502306,3.77557958,8.44755772,2.61584834,11.00712611,37.87894465,3.29875974,5.93626764,4.52622641,6.58661884,6.98812788,6.66006339,19.70207702,4.41408693,31.9752621,20.34218848,3.28228448,3.68876198,3.20230066,2.90682417,2.16274988,2.31174893,2.88939868,5.46169425,5.32016142,2.4900149,3.63508537,47.23172644,4.65434316,3.32663505,2.42556452,2.57635984,2.32965011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_86,48.45286456,3.85966437,4.09262978,3.7065676,4.08481241,3.69696562,4.01140339,4.300898,2.41734732,3.82355531,2.58771053,2.25987245,50.96317517,5.68510217,3.50818211,4.63809728,3.932005,5.05165787,3.13478656,3.79323333,3.12667429,5.27830643,3.17251348,4.03484455,2.2521285,5.00357994,9.95981017,4.17780315,4.50177981,49.19756602,12.05995007,13.38339185,11.70935644,5.05132931,2.66457843,53.69150959,52.04642297,2.33923033,2.32013404,2.06867867,2.70546935,2.86019273,2.59756251,2.72639898,4.89205229,4.2899991,3.98212488,3.78779014,5.85259121,7.46378532,2.33923033,3.79290063,3.97662952,3.84072326,3.17893093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_85,5.41215652,3.65332595,3.0788075,5.42653321,4.28924546,4.25155741,4.34394015,4.51711674,3.8366781,4.72712845,3.25527638,3.55200284,4.7624128,6.12110124,47.57214599,7.46616249,5.24029369,4.57443905,4.57001008,5.24928194,4.60217398,2.77592384,3.55300295,4.68083126,4.67750084,5.47382976,8.76554279,5.05073281,3.83114926,5.15040202,3.65920478,3.76357776,3.88357466,42.68016499,7.24918429,8.72959384,16.4592038,2.93041536,2.80816541,3.12926182,2.63228615,2.53216908,2.68265622,2.66304677,2.68310547,2.56588021,5.00733981,3.52219057,2.65748639,3.07977214,2.93041536,3.19720982,3.02907838,3.11931655,3.27608002,8.06413647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_84,4.28078037,2.15068693,2.24959196,3.40305335,3.29688383,3.1365892,3.29265193,3.40305335,2.38092407,3.82422495,2.17452698,2.53686642,8.31488973,3.6728875,47.75544335,3.85150062,6.15335775,2.595929,2.67663205,3.50514352,3.36552063,1.86037784,1.37897809,3.80083545,2.81333929,4.83068849,4.24361911,7.0165895,3.47765321,2.00291441,53.34141581,53.6410101,53.29134443,49.56825804,2.30849711,49.76229722,48.38685274,2.29487959,2.18791325,2.10607244,2.28252419,2.31406425,2.47285409,2.29487959,2.95487363,3.15164302,1.40950101,3.29347064,5.92303201,10.12426194,2.29487959,3.5512572,3.5512572,3.4790713,3.43541798,3.38964119,3.60032633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_83,6.52421515,3.16786577,3.56167231,3.27356027,3.27356027,2.75085867,3.23627405,3.42324728,4.86748551,2.22766636,2.92445225,2.55728511,6.13564863,47.68753218,3.35949879,49.55677237,52.13076802,5.68316506,7.10483753,24.95910904,4.43560205,3.51338228,6.55800143,40.49777107,32.67319292,39.64407023,44.04731289,3.87655901,9.14713882,45.78073669,7.9116372,8.05629377,7.91550938,2.87482182,54.75148308,4.47913635,7.03867883,3.84088413,3.67775493,3.23706825,3.36922377,4.73688568,3.98736685,3.36818628,4.48352935,4.81932461,2.6117384,3.48281849,6.72431878,50.56666378,3.32594938,3.22591851,3.33311693,3.27455201,42.00915877,5.13222563,36.31437787,45.28650305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_82,11.67649828,3.26450383,3.90117812,5.34061746,5.34061746,5.32360776,4.21952229,4.19749211,5.20350039,4.43820266,2.6441845,2.65845541,7.01968146,34.97723383,53.48428671,8.0055378,53.17100446,7.81016016,41.55176864,25.60050632,10.26451858,7.52157081,3.08862825,46.75122883,19.23727959,45.92037994,13.12891497,6.22107597,52.19664763,13.53608524,8.41869445,8.52459324,8.2305883,3.27101067,51.3713789,9.52103848,4.93782939,7.44031934,7.25623336,8.14350894,5.55479087,5.97778324,6.14968474,5.50872373,6.07129498,5.86276531,20.07986951,6.34677271,48.32407242,10.60818057,7.44031934,3.08546788,3.1391834,3.1368507,5.9125533,49.96107415,7.83283359,47.57150405,8.58336502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_81,4.94957237,1.95271423,2.47492907,2.58507556,2.2456661,2.22104117,2.46857951,2.19375786,2.54784978,2.45564479,1.47094716,1.5620073,4.57698517,9.56562667,8.92179003,3.41144267,4.13105859,4.48150526,4.99210039,8.86881498,7.16440673,3.66874271,3.95181931,19.16495513,3.89964625,11.54889813,43.07635774,5.68448165,5.26315712,3.13740004,7.30967655,7.30967655,7.30967655,5.72382823,5.26311346,49.55992239,13.89354448,2.76935895,2.74098508,2.49289884,2.48648955,2.72034442,2.75011187,2.59925987,3.11525356,3.76285747,1.56779571,2.6954056,45.86543477,3.53062438,2.76935895,2.14024814,2.14024814,1.87374104,2.87239146,4.52186169,4.62636777,3.64924797,5.00067162,6.99219554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_80,10.10741529,3.97497001,6.79364943,4.81013148,4.41385111,3.98763363,4.64701715,4.81013148,2.65179062,5.07849991,3.2962229,3.75348235,30.71318458,8.22985129,7.66528027,2.98761004,3.85007761,3.67341472,3.04612514,2.38135818,6.50886291,4.91240566,1.49954827,20.89245229,3.10328621,13.65221379,39.82491236,8.9200514,3.46523186,4.15807696,9.18306878,9.18306878,9.18306878,4.18298671,29.59142377,48.59391038,44.93518934,5.29252197,5.17771979,4.42168213,5.29252197,4.40556647,4.6065096,5.22329384,5.81813006,7.95545074,2.03343978,6.26179765,5.04996633,6.60046207,5.29252197,2.91511547,3.03107603,2.91511547,1.49986189,2.95597632,5.8740456,2.27054151,4.41385427,48.61346591,2.0549253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_79,53.48907565,7.5238514,8.62343441,47.37619196,29.89613241,24.77625248,34.63620658,43.0865845,15.92890356,12.386392,36.53797137,39.14567278,6.76862441,41.72595549,7.06190985,55.02616363,49.99204205,39.08888067,20.27127832,21.08361922,43.1347153,5.55041236,11.88239377,3.6127372,51.13236656,4.0772828,10.46770787,46.77613619,9.21406871,11.80505883,8.95877217,8.97214004,8.78367013,5.2934547,53.14344533,9.63321931,7.47259512,45.24299383,45.26283655,45.18381928,38.19211297,39.00536393,40.00189076,36.82046463,35.14646242,9.4947628,47.6724346,44.27793569,46.27570426,51.38793089,45.24299383,23.04268472,23.38166664,24.76809225,47.08200375,48.41187815,45.18873726,6.02287201,5.98785244,8.06586381,41.32635215,50.17790856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_78,2.49845446,5.66309612,6.59644766,30.36256537,8.6623723,8.6623723,8.6623723,8.6623723,7.41173923,8.05191146,8.24450307,8.24450307,50.21626896,38.59456081,48.06785424,2.82215878,9.93705145,54.12773433,4.3993749,49.93543658,3.94490928,44.52719598,11.49206068,4.20286095,54.6284917,5.14820704,4.41419434,8.85715941,5.81156025,2.23866663,21.8692834,21.70927935,22.03801148,49.28932232,1.09114619,53.18191681,5.42908065,19.99117147,19.99117147,19.99117147,6.55955872,4.49580856,4.88979506,6.97740431,4.05443652,5.44709358,52.64228207,16.96427411,5.43237416,5.07648038,19.99117147,7.76611971,7.76685951,7.76685951,4.19411854,4.969402,5.66311003,3.33135116,50.15758806,10.99606368,6.02422159,3.14263196,3.17843847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_77,44.41457399,45.70923477,45.70923477,48.54282388,44.03450862,42.62967192,44.8368519,48.54282388,40.63611987,10.10646596,25.34127134,35.08955158,4.95033216,4.51902585,4.75089383,5.92670264,3.09230652,45.10465598,40.98589719,51.99270961,45.10465598,50.51435836,?,2.80150209,10.84416414,4.08237056,47.99796065,31.36710939,43.79067455,3.49852284,7.21613602,7.21613602,7.21613602,0.71110669,54.83905287,40.42704881,3.61377923,20.2556861,21.07401832,16.81351591,20.2556861,40.28333509,42.92644468,20.2556861,34.30498715,41.47466334,4.33540104,3.79836467,49.54788155,2.87311388,20.2556861,46.6447358,46.6447358,46.6447358,47.75724993,21.15288824,32.31131814,43.3305569,14.08729533,5.09177524,7.96571126,12.55793309,48.46681292,47.63584236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_76,5.7728689,3.52423362,4.48679409,3.83441012,4.49854548,3.8502396,4.31028617,4.98685845,3.0340687,2.30347003,3.73173456,2.93917748,7.73025293,5.60128346,3.9177132,42.20950367,6.48623644,5.57809254,6.14420441,2.82727511,4.82407251,1.64343563,4.5043907,4.70017056,5.47810334,13.13575775,41.9173537,3.86260553,1.40905348,4.2605687,8.94144736,8.94144736,8.94144736,4.03670399,3.79806006,4.11778442,7.08496678,3.43978843,2.82012465,3.09764449,4.08703484,3.43776665,3.57788612,4.23190064,3.38133433,4.88427415,4.19233582,1.96430291,3.65416172,2.46688017,3.43978843,2.23743701,2.25501352,2.23743701,7.91122602,2.8278129,3.82145601,44.63856058,2.83095891,6.89904633,4.45317299,5.2776367,5.40758318,42.70184344,48.63482775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_75,4.57806588,3.11999041,3.11999041,2.25936771,2.25936771,2.54497216,1.99582597,2.64678806,2.93221811,2.2551774,5.84372387,4.89647798,10.60767855,24.30793065,47.63672216,5.48551696,20.24231293,2.02944729,7.28024269,42.47545122,3.22125113,3.3894306,3.89020326,6.71359826,4.1469239,5.67313769,5.8863631,36.86392016,54.82566316,8.25967752,47.44011763,47.44011763,47.44011763,50.4003395,3.09092633,53.03739189,46.06336543,3.04506736,3.09925602,3.41625055,3.44794855,4.23165409,4.23165409,3.82066622,6.15315597,5.37846467,9.22173168,2.83339282,3.93895428,12.71209988,3.04506736,3.43776691,3.23148216,3.23148216,9.02748314,4.11194268,5.54828486,5.07277964,45.61343859,6.75398112,5.86908285,38.99305618,47.21354096,24.2810804,47.29379215,6.45392877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_74,3.47146068,1.99674197,1.71853458,2.27120836,2.3857802,2.17527473,2.27336141,2.5823525,1.89699985,2.35415271,1.3455544,1.19604056,4.4363043,5.58310592,46.63056811,6.19303578,3.66799511,2.54735508,3.16573442,3.67417203,3.50125168,2.68056819,2.14596732,5.1572682,3.62595114,5.32480454,5.49871105,4.82460256,3.81227679,2.67609597,48.1908559,48.71816041,48.03677799,43.03827643,5.52536833,46.89935562,42.09071477,0.83715041,0.85791786,0.69884914,1.07278522,1.31605285,1.17551472,0.93394266,0.79517502,1.02284196,2.45408198,1.91652456,6.54918069,4.27292991,0.83715041,1.97002001,1.79296813,1.93893364,5.62447278,2.64252567,3.15652057,1.6934671,4.66167186,12.36821665,3.02736257,5.41379214,42.99960427,10.9372569,40.04542686,3.84950078,3.41902313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_73,3.61926399,1.0349598,1.0349598,2.39977557,1.66958116,1.91491169,1.57728965,1.9848258,2.47954901,1.22857892,1.87156483,1.73773032,7.88993327,6.44671032,47.0505262,1.93317138,2.99683319,2.274914,3.4797873,3.54299561,2.34037046,4.22169712,1.67479997,4.39244802,2.91951049,6.41428013,47.68061863,2.44403443,3.85520631,4.0773074,5.76866082,5.76866082,5.76866082,1.25870157,4.24957109,7.59052408,14.22767459,2.43341342,2.92429594,2.36756627,2.21222838,1.54337916,1.54337916,2.22287904,3.89458565,4.36545422,4.52203218,2.4671635,38.35739678,4.14876694,2.43341342,1.54831024,1.54831024,1.30405874,1.78386893,3.44747202,3.53526809,4.59844592,5.46958547,3.65767429,2.68492685,3.39307426,48.5222822,3.80424913,15.54206803,4.12255766,4.232943,3.49570376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_72,2.33386061,1.65933962,1.70975257,2.13194998,2.13194998,2.35334122,2.03853961,2.42537856,2.0457383,2.57557181,1.43292381,1.38068458,5.05977864,5.57160469,46.89326608,4.50944431,3.06868285,2.59051464,4.12979257,4.03139344,3.6939209,2.63211844,2.14596732,5.32506569,3.58064806,5.35804757,6.69937125,5.75392883,3.14841311,2.744931,50.77471861,51.13050855,50.69899851,48.81638066,4.2247545,49.73749504,45.50138327,0.81068695,0.8307335,0.7990128,1.04226051,1.10346934,1.14072308,0.90618747,0.95054039,1.02913732,2.34580931,2.24399928,7.05561144,3.37882292,0.81068695,1.97002001,1.79296813,1.93893364,4.78204938,2.79368472,3.35827064,1.7011181,5.64953484,10.07384367,2.58213377,4.70137039,47.16380585,6.21164506,41.38263817,3.33778602,3.0204328,0.25263941,3.0458254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_71,54.54202042,45.69772226,42.53738441,48.70446841,43.61695699,43.1492389,43.25991966,45.94372947,40.27988918,45.35781856,42.84162867,43.50356145,6.29366908,49.51388234,5.81383975,54.34769799,54.77568072,45.09459274,40.29062037,11.2284021,9.95158456,10.49894706,53.20182219,49.47662012,51.632226,49.38133241,48.0470468,42.10122204,55.38209552,54.71817904,5.59958363,5.77289433,5.65897194,5.56874587,50.73782449,7.04705465,6.53817341,?,?,5.85136262,47.13943344,46.72260586,47.12086603,45.55230222,41.9095076,47.88247431,3.83960198,49.260728,51.4173454,54.94749187,49.32997596,48.0464485,48.20354224,48.20354224,45.58429502,6.63872977,47.5490892,49.40538372,7.34669673,3.65210332,46.74831156,48.3917042,6.58024866,55.03231153,5.93385074,9.12136595,50.21639588,50.95168098,45.91318318,48.59951356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_70,52.12121161,5.36825098,6.46057058,10.47445613,44.70476135,13.86056986,39.29924858,13.3388679,13.86056986,5.12786393,6.89867449,6.56228244,12.5702594,52.53642556,5.88782474,47.02215836,55.74588082,32.09348916,51.60024277,15.44418339,53.57918798,2.72227257,7.19171812,52.01806025,42.84592406,53.18725306,9.96092302,9.31871431,49.22300816,43.30640085,12.09356939,12.19530402,12.04432116,4.55747579,3.62081509,5.48452188,3.95252222,45.250071,45.250071,6.32829774,39.62033838,34.790885,38.85450422,37.86456212,12.00463615,14.49516199,45.79074843,51.64637434,45.51377114,49.17098938,45.250071,4.40426376,4.40426376,4.40426376,11.72265158,52.41401429,10.386253,45.92196769,6.37551265,4.1335456,48.01298276,50.14517232,4.31031357,7.35545062,50.92037575,2.9243615,47.71139019,10.49285622,50.04925222,46.16717111,7.20711022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_69,3.11053683,2.81201637,3.04587942,1.46267351,1.21375111,1.41776383,1.24292242,1.46267351,1.4564179,1.82606892,2.39361018,2.20754276,7.23600767,1.94185296,47.63998607,5.03429427,3.34102019,1.59052992,2.96453841,3.31714275,2.48843962,4.45415132,1.36638189,8.43229967,4.53526612,5.48712326,8.24326244,4.21445928,3.25375672,2.74348098,40.78325089,40.78325089,40.78325089,50.78132522,5.17101943,51.14592803,48.45939982,2.41789659,2.39504668,2.37344088,2.40479897,2.90284484,2.72596192,2.41201326,3.58646033,4.17400601,3.43856516,2.72755856,3.39274464,4.47095224,2.41789659,1.07464918,1.07464918,0.84264203,5.28472656,2.54190544,3.95378604,1.91452117,45.93468177,6.86715067,3.60069292,4.06931663,49.5552026,3.45802996,45.84821294,4.14381306,1.82650872,1.95363623,2.4865746,1.54031469,48.50884246,50.17837932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_68,5.52343058,2.6477846,2.99287707,3.4109496,4.84266622,4.94663304,4.69939443,3.99317488,4.65111779,3.45677717,3.48272268,3.3622608,5.53866518,6.21249322,5.43648062,6.55733063,5.40779813,4.28870506,12.04805302,4.81581343,6.81081843,0.96087486,2.30480888,3.11526298,7.57380078,4.63147524,9.55054059,9.55309285,2.35040336,3.04907348,8.98606108,8.98606108,8.98606108,8.99460356,3.14588603,8.30351288,7.99527971,2.47774532,2.31488364,2.4380086,2.97533458,2.65061707,2.77044572,3.08903,4.72192935,4.83652389,3.19228073,5.15958445,45.28010695,2.77672317,2.47774532,2.71038164,2.42892359,2.42892359,4.43396802,4.330651,2.91928219,2.99476773,4.15010508,6.14957312,3.75138639,2.95587847,3.65598637,5.48132062,50.07655049,0.91780719,3.70804704,3.10697892,3.79186414,2.42454976,10.2582079,3.43150054,3.38640988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_67,0.43961872,1.39954309,1.55343356,2.20572403,2.09316144,1.93840135,2.41318471,2.12406997,1.8696453,1.90280921,2.01401688,2.09675749,15.61795457,2.98013117,71.24490187,5.75445435,3.46261708,3.98567686,3.79379596,4.12422506,5.22039809,6.65919105,5.63226238,4.11704148,3.56287986,3.6701473,51.25516347,3.40521639,2.31156777,1.00726202,16.8189178,17.47625703,16.46158518,47.87551517,48.67482862,52.42377361,4.8656671,3.92615906,3.94918129,3.28741366,3.48417938,3.94912055,4.16089445,3.70881097,3.32032477,3.44701254,2.61404048,2.24386974,9.14566254,2.25176378,3.81444582,1.3830376,1.32685264,1.30617759,4.69354015,6.6210699,5.86672428,3.23697101,4.94172624,14.54575119,4.07475847,4.08571863,53.23135904,3.78986913,3.19140786,4.32779419,29.0130785,3.80059298,4.65812081,2.90517162,54.5006993,52.83230281,3.58285954,3.86689556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
