,Sequence_198,Sequence_197,Sequence_196,Sequence_195,Sequence_194,Sequence_193,Sequence_192,Sequence_191,Sequence_190,Sequence_189,Sequence_188,Sequence_187,Sequence_186,Sequence_185,Sequence_184,Sequence_183,Sequence_182,Sequence_181,Sequence_180,Sequence_179,Sequence_178,Sequence_177,Sequence_176,Sequence_175,Sequence_174,Sequence_173,Sequence_172,Sequence_171,Sequence_170,Sequence_169,Sequence_168,Sequence_167,Sequence_166,Sequence_165,Sequence_164,Sequence_163,Sequence_162,Sequence_161,Sequence_160,Sequence_159,Sequence_158,Sequence_157,Sequence_156,Sequence_155,Sequence_154,Sequence_153,Sequence_152,Sequence_151,Sequence_150,Sequence_149,Sequence_148,Sequence_147,Sequence_146,Sequence_145,Sequence_144,Sequence_143,Sequence_142,Sequence_141,Sequence_140,Sequence_139,Sequence_138,Sequence_137,Sequence_136,Sequence_135,Sequence_134,Sequence_133,Sequence_132,Sequence_131,Sequence_130,Sequence_129,Sequence_128,Sequence_127,Sequence_126,Sequence_125,Sequence_124,Sequence_123,Sequence_122,Sequence_121,Sequence_120,Sequence_119,Sequence_118,Sequence_117,Sequence_116,Sequence_115,Sequence_114,Sequence_113,Sequence_112,Sequence_111,Sequence_110,Sequence_109,Sequence_108,Sequence_107,Sequence_106,Sequence_105,Sequence_104,Sequence_103,Sequence_102,Sequence_101,Sequence_100,Sequence_99,Sequence_98,Sequence_97,Sequence_96,Sequence_95,Sequence_94,Sequence_93,Sequence_92,Sequence_91,Sequence_90,Sequence_89,Sequence_88,Sequence_87,Sequence_86,Sequence_85,Sequence_84,Sequence_83,Sequence_82,Sequence_81,Sequence_80,Sequence_79,Sequence_78,Sequence_77,Sequence_76,Sequence_75,Sequence_74,Sequence_73,Sequence_72,Sequence_71,Sequence_70,Sequence_69,Sequence_68,Sequence_67,Sequence_66,Sequence_65,Sequence_64,Sequence_63,Sequence_62,Sequence_61,Sequence_60,Sequence_59,Sequence_58,Sequence_57,Sequence_56,Sequence_55,Sequence_54,Sequence_53,Sequence_52,Sequence_51,Sequence_50,Sequence_49,Sequence_48,Sequence_47,Sequence_46,Sequence_45,Sequence_44,Sequence_43,Sequence_42,Sequence_41,Sequence_40,Sequence_39,Sequence_38,Sequence_37,Sequence_36,Sequence_35,Sequence_34,Sequence_33,Sequence_32,Sequence_31,Sequence_30,Sequence_29,Sequence_28,Sequence_27,Sequence_26,Sequence_25,Sequence_24,Sequence_23,Sequence_22,Sequence_21,Sequence_20,Sequence_19,Sequence_18,Sequence_17,Sequence_16,Sequence_15,Sequence_14,Sequence_13,Sequence_12,Sequence_11,Sequence_10,Sequence_9,Sequence_8,Sequence_7,Sequence_6,Sequence_5,Sequence_4,Sequence_3,Sequence_2
Sequence_122,1.67180304,25.89458132,40.29755788,3.77516891,48.14635417,48.44002032,6.89607334,7.55953362,2.4599488,12.40918989,47.16372422,3.57576924,3.78132925,5.12405705,45.38447335,4.77157903,2.1109815,4.07782933,1.52611393,3.28432073,8.01893898,50.3894874,12.27247713,2.94589842,9.2403481,2.58100082,3.3002065,2.49271852,49.18451989,2.51279048,1.87903459,2.06179253,2.29035765,55.85416147,2.63211467,3.08037936,2.87976958,45.47282436,1.48465026,48.98462837,3.24042143,3.7955171,50.85914614,49.88081471,3.95783327,46.06932478,1.35147945,1.3804817,5.36298027,5.80883418,2.4729433,2.63630933,2.42903196,3.5386988,7.46505708,4.02830384,48.38367116,5.82339439,14.87791775,5.53165447,49.93818497,49.80047754,3.15874811,5.76140843,1.79339682,2.77140855,3.09441119,1.76324203,9.16478122,2.42876563,2.02028607,2.36878783,4.02123732,4.12966139,4.198649,1.76796199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_121,1.12185158,55.78386893,48.01756364,4.04102727,50.63550407,49.62694607,1.99085077,5.091789,4.36541576,50.92579367,48.57654679,4.81398517,6.16082119,47.71502527,43.94765875,9.08373628,2.02947561,3.4554543,35.76013351,18.17834842,38.74921013,49.5551041,45.92149547,14.74141932,2.74674028,36.98782683,40.29461173,41.91872974,7.73657728,4.98371041,4.02496348,3.63159052,5.36792912,9.51116089,36.09561817,7.41093957,47.32908437,48.38662484,7.71457408,6.74997833,4.82269747,6.12189885,50.32448506,51.68284473,39.83923755,42.99831192,11.80211973,17.44995737,45.88195871,37.97901517,7.56973376,7.48626987,7.56473881,39.66508387,3.25227184,2.63651711,8.70223703,10.27049556,11.87978979,2.00255939,9.35345685,9.35345685,7.56628173,11.05061616,39.04258632,17.0125354,16.09499592,44.19086273,19.35575297,9.71836126,9.11037931,47.98329948,4.05542881,44.63395285,10.56284988,6.65290047,6.19786689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_120,1.34190014,55.58069594,5.70393364,4.66367348,50.72331672,50.56273715,2.58480284,3.67054085,3.49514454,49.95419389,48.55060963,3.11902099,6.39119304,47.84077944,47.09476278,4.08450469,4.11653091,7.51897135,16.21442728,4.85996305,48.77453081,47.18377052,3.01714178,3.12254104,10.26222029,3.74151384,4.24045527,3.09562443,54.05659299,3.38424184,3.78951626,4.39271448,3.33161207,3.99490239,4.50909496,5.82632955,2.42722752,49.61025958,6.07072513,53.9496022,55.07230736,6.96804844,49.43707671,50.87351606,46.47724008,49.75074822,5.58219863,6.49080078,47.03693056,46.58691099,7.29422818,6.50414397,6.55304607,6.85873406,4.97748978,4.79990915,13.98632884,4.97719007,5.83170396,43.42271642,14.16359125,14.05814775,2.7671644,13.36965884,4.07158018,3.89878334,15.53789991,4.3640515,14.13345371,5.19099423,3.65431325,4.49760168,3.44442745,47.23925813,8.69375423,1.75446234,3.02306515,2.96440074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_119,47.89855259,8.70595477,14.29254703,49.58262699,52.22772594,51.8536391,49.7976294,5.16013139,43.52748735,4.92979191,5.99191835,7.88720335,43.95638451,7.31924346,51.29806352,50.23194958,4.60919807,48.42580991,3.30121865,3.42128757,49.44342707,15.25064305,5.76825333,6.26903764,49.43371036,3.43030156,4.75987888,6.57157502,53.7090904,2.78850896,2.23625544,2.83654954,2.80376075,56.81991592,6.6530227,4.4302495,3.06573121,51.32706407,6.05451375,53.68925785,54.01036689,45.4629522,9.43135675,7.22088582,6.96878893,40.50057443,10.37583082,46.26787437,18.80317022,7.67830063,4.92502973,4.91014693,4.82754981,7.57034281,53.78392664,53.70970616,53.92773876,48.89629217,55.43872094,39.62846136,54.47834059,54.28185401,5.42193331,6.27012092,5.56460118,4.88766032,4.37625183,5.69617574,52.89678942,3.57249079,4.65064165,3.84578639,10.4918432,3.07346669,47.99593647,45.08008416,4.10083167,50.1165597,6.77263783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_118,2.97736674,4.32077708,6.01334984,18.00400032,7.34627373,6.64114922,2.64167459,3.18127502,2.14431678,4.28928874,3.50764104,4.2111353,8.98793308,7.68363187,4.70271937,5.86092394,45.13889453,3.14082497,8.27020888,48.96905761,49.8434095,50.75626459,47.57302918,41.71772491,13.34377868,3.91827453,3.06692541,2.04954995,53.8176535,3.5659933,4.21181284,4.84086277,3.72682821,5.36409846,6.41835633,49.19098942,6.07901833,8.16793635,3.58025423,53.76834815,6.197531,50.48513243,4.90343381,6.6612786,52.41265243,10.23415918,2.54379744,2.90109385,4.77681751,4.7732209,6.46923101,6.22084476,6.43931108,6.36986303,52.94556973,53.02319211,50.68087927,5.33950686,49.99187858,4.52304011,51.49683714,51.72180659,5.65079078,7.73283421,4.77628535,47.93317777,45.75537716,9.52873907,2.95703305,45.36092106,5.15129578,5.6874394,4.75446489,6.46895357,6.77687446,5.65907171,5.32347613,41.99252202,42.91394836,46.10128091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_117,1.97125059,55.55532791,48.98254193,2.669201,46.42444367,45.83857588,2.1549634,4.901952,2.1089932,49.9566734,48.18067222,4.55444438,7.40356824,48.43344182,44.36714379,2.54733916,2.77246907,5.47812618,2.00577036,1.97600447,2.31895061,44.25958262,7.96716108,3.48148741,3.38505746,3.20488418,3.94444704,3.81167926,6.11204541,3.38724708,3.25842188,2.19503355,3.3310827,54.77891636,3.92062734,1.53404197,3.49743125,5.76059539,3.59268096,4.51198754,3.84438653,3.96262987,49.86676719,50.98770324,2.54397098,30.35643552,2.35381506,2.71179165,9.05892647,7.7120455,1.17436706,1.17436706,1.30084353,5.79862077,2.86265735,2.56485273,53.65080673,4.75857187,55.60059917,10.21046095,54.02748875,54.22095852,1.15844684,57.93302326,3.81182224,1.70149157,2.90468658,3.10003377,3.04686502,1.67892237,2.92896622,1.86170817,9.88604008,7.04982803,2.34658442,3.44324253,2.91158842,2.55288683,2.77694143,3.82250689,48.07751447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_116,5.03755714,50.31114585,5.81927139,48.05529501,4.98522724,6.44904523,12.71489594,15.85727224,48.99966399,7.23213817,6.66312848,11.8504482,30.33858031,7.83873701,4.96248207,18.36804148,50.8116118,54.12342716,42.95588169,48.68337339,48.79592097,52.18678181,39.40463251,53.38347916,5.9833784,35.27069665,17.77539406,44.89541074,54.55947284,13.56436651,45.07549252,38.66960707,15.170295,5.31862148,6.50181737,37.97867501,44.04692865,5.7714619,37.73338931,54.16680453,54.58136487,44.85173842,7.90989917,8.46836608,54.24735945,4.41040938,46.21149042,5.99289737,4.05520279,6.50956962,6.14764878,49.62130069,6.62271376,42.95493993,53.81851835,53.97364905,12.18850788,6.15776341,54.51581284,8.98273976,13.54527046,13.66414846,43.77703255,56.02286027,11.53135395,48.69977991,53.47378254,9.54073397,7.72906702,53.7990963,51.05653614,51.23714028,17.88630159,7.51636928,6.58674206,43.04030446,30.11409946,50.69159341,50.03186664,53.71735103,6.16321975,53.65348263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_115,52.52239797,57.25327074,6.79414572,51.02947521,9.56346114,9.34621779,50.00904411,50.26191171,48.29805993,7.46800083,6.95593753,47.66591487,52.02826369,7.55291656,6.03012905,46.61797854,3.46558679,50.78819093,4.99061449,48.29275406,49.94081637,12.42059547,8.21936584,51.64193815,51.11007354,50.00328948,50.86171003,51.02660019,13.4142295,51.22268271,49.04423904,47.67252291,51.08455504,8.60368887,47.10576126,49.85276445,52.4693561,8.77855849,46.28631745,52.80944628,52.60083636,44.20011969,6.90241792,7.37935463,48.21844105,49.76812776,49.93526942,50.94248064,49.96314529,48.66675585,50.14855786,49.94379961,50.03827345,43.76196442,52.61163684,52.80811802,3.8637999,7.40931404,19.98588251,49.12152203,3.90893932,3.75054686,50.24360386,21.96172571,47.61754153,50.02920464,47.14029911,48.52680356,10.12583988,48.94217866,46.85744589,50.14081213,14.24620137,49.34014954,7.79638814,45.30787682,48.50027053,16.6485165,49.09503923,39.57953815,9.23325129,50.47382528,10.48381613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_114,3.33532641,52.61816949,50.99425263,1.75512129,46.97629086,46.48925003,4.93084457,3.44918448,5.21307601,48.09804312,46.87900975,4.63914991,2.01496821,50.28411484,49.29219949,5.26523059,1.58349296,4.86957493,3.21348496,2.61623908,6.21620194,4.23802379,4.79057528,2.12911881,7.48746204,3.3889238,46.48040309,45.29428763,4.89584088,3.61899976,4.54637154,5.21886856,3.27401564,4.45267645,4.22331712,1.90018234,6.52758469,40.29127139,29.17108215,4.27163012,51.44540006,4.0274707,49.21933539,50.80677816,3.61315948,15.06590938,4.45562881,5.76309356,16.3348995,17.6090275,2.44073121,2.3974786,2.53624835,3.7083703,5.38352001,3.57081814,53.45207621,3.392394,52.54564036,3.94986976,53.32636858,53.25505775,2.54396077,55.4564797,4.46180435,2.66244298,31.94822611,3.20696681,45.24957904,5.02610719,3.12333087,2.99195963,14.9721448,6.72387201,3.13379406,2.65949791,3.74998917,31.26448452,4.59499268,10.57250867,46.99501759,3.13064386,52.70312141,41.48859422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_113,3.33532641,52.61816949,51.22914555,1.75512129,46.97629086,46.48925003,4.93084457,3.44918448,4.465911,48.09804312,46.87900975,4.6715682,2.01496821,50.2890781,49.29219949,6.17462482,2.30673401,4.86957493,3.87638696,2.85070642,43.91028947,3.82885897,4.30585928,2.12911881,6.49840403,3.11069484,46.48123497,45.26896517,4.28934012,3.69871923,4.19979997,4.77857906,3.37449059,4.17923989,3.66216175,1.88867615,6.40820401,41.03782938,28.12449587,3.66763589,51.31493898,3.23144907,49.21933539,50.80677816,3.76506133,6.51162681,5.11032932,7.65071539,16.55356586,18.48014895,2.61668738,2.57624901,2.71559699,3.30977302,6.01112956,3.98389096,53.4614116,3.63851221,52.54877666,3.69743149,53.33578322,53.25751159,2.72773052,55.47381149,4.49684467,2.81855638,32.32246822,2.86423391,45.22113865,5.3820728,4.0894938,3.24603317,15.62160201,6.06977885,3.30565552,2.37682802,3.36029332,31.26448452,4.30925122,8.43409315,47.00375278,3.39518606,52.84653526,41.75104654,0.04316331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_112,3.61348836,54.92980336,50.18855556,1.87908251,49.85520984,49.65576783,3.3373481,5.34378877,5.31651373,48.733593,46.29409589,4.05404754,3.79619852,48.31439617,46.73020622,2.76149515,2.35824707,7.38503654,2.72381309,1.69367891,43.92426413,7.72235702,3.03802858,2.89132134,6.32985904,4.05638962,43.03218409,44.97705227,6.91202179,4.33208774,4.63635621,5.09147852,4.05285916,3.1839672,5.0692131,2.59207313,4.34928037,47.30301376,18.0628038,6.18470754,52.51745013,6.27596492,49.24972259,50.53038983,3.95994291,53.34220331,3.67379769,4.79534004,53.11331026,52.96172865,2.92886661,2.89368453,3.03660264,6.13147169,8.77820732,5.55274444,8.27418113,2.30047107,3.5711892,4.22477633,7.9807319,7.99660388,2.51591277,5.56912023,7.39634219,2.44080073,52.25694952,3.34752067,54.33297981,5.43356575,2.58177228,3.53944961,48.75136619,52.01698901,3.3797562,2.79013435,3.34680454,8.46678852,3.71009442,53.35641874,44.44561288,2.1912951,54.95123321,17.12497019,0.51721713,0.54352051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_111,3.14159488,52.32749832,50.18855556,1.2840724,50.0479805,49.88160519,4.20142923,3.01278509,5.57365643,47.88893927,46.70773431,3.8013625,2.92524713,47.8021889,47.25422134,3.46907681,2.35824707,7.44718583,2.72381309,1.69367891,44.28064308,7.84912115,3.60560618,2.76678486,5.37932986,3.95757999,42.9221467,44.93943199,6.91202179,4.54434734,4.54950742,4.8928527,4.28675317,3.1839672,4.87595863,2.59207313,4.03636124,47.67872606,16.06692854,6.18470754,52.51745013,6.27596492,49.43049751,50.14313499,4.06156316,53.36928944,3.54768403,4.60447249,53.09022215,52.93687748,2.85592404,2.8190029,2.96270977,6.01160324,9.41580678,6.01129983,7.75704924,2.38406238,3.30295088,4.19744822,7.45751904,7.4662879,2.54538819,5.44676162,7.1619789,2.25990119,52.27287351,3.50162112,54.24585554,5.08509866,2.96989054,3.33122162,48.58749127,51.9431769,2.77537354,3.1700787,3.22856567,7.64646555,4.81443715,53.32898368,44.74213141,2.35205066,54.97552667,15.43596021,0.51985086,0.54636745,0.12330581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_110,3.74458618,54.28855232,50.18855556,1.59768664,50.07739562,49.88972929,2.96404748,44.24022697,5.40318009,48.62216356,46.67366233,3.9544002,4.09909123,48.04349118,47.17668849,2.36070295,2.35824707,8.74860482,2.72381309,1.69367891,44.28064308,7.84646098,3.55750191,3.32027882,6.80211713,4.07859564,43.71511034,45.41243457,6.91202179,4.27723006,4.65268911,5.01414613,3.99837796,3.1839672,5.10081859,2.59207313,4.18149051,47.6600154,18.44152062,6.18470754,52.51745013,6.27596492,49.31222806,50.40005593,4.78982281,53.36928944,3.70643711,4.83050689,53.1180935,52.96801007,2.9546518,2.92056977,3.06138526,6.14358185,8.60417994,5.29979765,8.06745877,2.28986813,3.5711892,4.08479512,7.77765641,7.79128791,2.63392831,5.54255746,7.2521625,2.96166372,52.29888024,2.95514954,54.26106549,5.17888819,2.65849754,3.51094708,48.75903824,51.98843994,3.36953488,3.0384209,3.81465427,8.3852602,3.60286448,53.13866536,44.54469227,2.31672825,54.95514279,14.89471626,0.54062584,0.56849935,0.12348629,0.13364006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_109,4.37549814,55.2483633,50.18855556,1.52532169,49.95964796,49.76200417,3.08480772,43.96784247,5.19344795,48.91859005,46.55909075,3.72902282,5.15379005,47.99081283,46.96165355,2.48709632,2.35824707,9.30178116,2.72381309,1.69367891,44.28064308,7.56525467,3.82002914,2.74738973,6.86525223,3.89298584,43.5438043,45.28799034,6.91202179,4.09856947,4.46088223,4.76173128,3.80873681,3.1839672,4.65291868,2.59207313,3.95374053,47.44582532,15.72688232,6.18470754,52.51745013,6.27596492,49.39176396,50.62967952,4.5647775,53.36928944,3.49225432,4.42498157,53.12348814,52.97330431,2.8422344,2.80588998,2.94622092,5.75227952,8.63626153,5.190286,8.16476882,2.4424226,3.5711892,3.7858566,7.88058288,7.89505395,2.77351284,5.29633531,6.88420893,3.03899592,52.25642791,3.00825663,54.47715992,4.9725574,2.65894786,3.57352149,48.80775067,52.03228612,3.56209261,2.83277334,3.20099156,8.35520324,3.50192578,53.23511522,44.63593894,1.91505433,54.96671941,16.13218572,0.55802202,0.58727542,0.08616683,0.08592464,0.08110733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_108,12.6013731,4.91861061,45.93162559,47.87549343,9.50017999,48.93846347,7.87172107,47.7433858,5.89573665,7.15949487,48.82122888,1.19194415,43.12616588,48.56865424,45.48726553,46.02963775,35.67049151,44.78571236,3.31951039,5.2958377,48.42683275,11.53975989,47.84275219,4.43123965,3.9696854,2.18324821,4.0624503,4.48621546,3.61979,2.060121,2.65698713,1.46957408,2.08680386,4.25730787,1.40667292,5.12956107,3.69026911,7.37803648,2.27299491,4.99625649,6.58237999,4.93306629,50.0570087,9.5278527,39.63116243,7.29509086,5.24048772,3.74064066,3.48321725,4.78524515,3.02026951,3.46914129,3.1452828,3.31625448,7.65375196,9.13784044,46.73756453,5.82958237,25.10980929,17.34190589,48.09425219,48.12260656,41.01186033,52.97772635,3.0474296,4.39961361,5.18469181,39.42236511,52.77651785,4.43632835,4.81203662,4.37105758,2.45373152,5.74525454,3.74175017,7.0340125,4.02020401,51.99323626,9.05287137,6.23083408,4.17950376,6.28355498,8.90750014,54.42354159,4.5881548,4.6179913,4.66772895,41.5290649,4.09474776,4.66631766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_107,3.03164156,53.80315819,26.43006332,3.03699834,48.69504682,45.87055825,20.37950189,44.3875535,2.13647107,50.8135994,49.93024539,5.83254322,3.92504603,48.4181403,45.69642821,8.16193647,2.35876773,2.71168511,1.82755179,2.75941058,8.31500566,24.61672198,5.43829037,5.77739881,4.01999574,6.60542579,7.3084353,5.46992014,53.0247901,5.08198234,4.05867637,5.54056758,4.86847116,3.50170844,9.73977716,5.04333255,7.75863192,46.83803935,16.47249614,3.75432824,3.78977663,3.39545761,51.14201197,51.63916193,5.80207172,39.66036209,4.10709227,4.39919745,43.8181409,28.92032802,5.66981885,5.39690726,5.52906556,7.5954615,3.91602775,3.31578548,47.93266657,3.76624466,27.6450746,9.13714725,49.60357223,49.50589635,2.69934442,55.26167867,7.83281961,4.24864214,11.90059577,3.53075887,46.78486283,4.30494597,6.29980982,4.25012196,5.08657681,24.43654458,3.59676356,5.07220252,2.0648017,7.09334762,4.00825019,5.87821959,45.31414699,2.86678374,51.66917364,47.67047193,2.38030019,2.65477616,2.16762131,2.23397738,2.40775453,2.27136329,7.19468729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_106,46.22986256,11.97378202,13.34494188,45.92760655,8.22477807,8.04970249,46.21810527,49.12494294,3.5932093,3.76470209,5.66137283,47.067895,43.49390219,46.95412248,8.10152688,15.07065039,2.63829077,48.00752833,3.0478652,44.82932834,8.15633004,50.04027333,44.03565328,47.89247444,47.82416099,35.6928416,33.74623828,38.13048404,53.42800213,33.95969019,46.20940074,43.2248212,30.18725143,54.11695061,40.31260432,45.94661401,43.18667573,7.74835268,36.43449094,53.2069215,53.13446028,42.6934181,2.70531957,1.94500833,10.10987807,43.28864883,22.88318187,42.12599062,5.95907794,4.58543517,41.43685979,41.47560402,42.02570232,13.56278946,53.52788254,53.14829177,55.49040954,9.73131568,12.95505276,48.31523233,55.7826129,55.72285212,49.27345805,56.8720505,47.00277596,49.60192748,48.67108791,47.47879166,8.66212535,45.40407576,46.61852363,6.36184951,6.73865959,46.52738019,9.95950051,45.82654942,46.00467339,52.48571169,18.66566562,13.2866492,8.32177216,47.68638992,3.75119716,8.46729269,13.64650345,13.71618572,19.69628073,53.89143256,19.58459109,19.51206913,5.85858551,48.07042811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_105,10.34664709,2.9973087,23.56709375,7.81988168,12.97573222,10.10262137,7.47866944,2.14973131,6.17367617,49.57587959,50.94674229,2.31417327,16.48620522,4.26832179,35.49215291,12.90668985,38.7791302,14.29081807,7.48892767,42.77276065,8.47800876,49.48465947,45.44399599,2.1458935,5.53119535,3.82287398,2.75525164,1.99417854,4.70596286,3.72154339,3.56176806,2.5900134,3.70030458,10.24713288,5.26132408,45.0371422,2.67387812,12.31897176,2.65433801,3.04003036,2.405343,2.6614699,51.4096478,50.78657824,42.9761579,40.35351515,3.34968846,3.52156641,3.58148121,3.89903298,8.60972604,8.84166512,8.56105197,3.4951365,3.47631953,3.49416601,52.48198645,48.06025965,51.34405054,5.33187739,52.39104112,52.40291304,4.36825157,3.76138713,2.70155056,3.37095808,15.13376684,5.34857385,53.13746097,3.48702784,13.5862297,4.42712123,3.3881988,4.62635989,46.44856117,6.45893363,3.85081955,13.03508225,7.21887651,6.00921015,5.90332973,4.91185579,22.10558332,50.98384447,41.65375762,41.66985004,49.25277025,48.06509709,49.29596452,49.25746071,5.93408727,3.46835548,51.7624986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_104,1.60546173,26.47860269,49.84577245,3.36676011,48.17959432,48.46244953,6.77806001,7.33782405,2.46881893,7.75397628,47.89956213,3.31813386,2.72858828,7.26898682,45.34166386,5.64356634,1.97218373,2.8044291,2.74156105,5.77531056,3.43381318,49.94452712,46.58435532,2.73461917,9.61662078,3.26260527,4.51598391,3.27674988,8.49459112,2.84193106,2.85839802,2.88615472,2.56510354,4.58557229,6.13967044,4.6824725,13.0480613,45.08333237,3.00222664,4.86664881,4.2990782,3.78546751,50.44248107,49.17314833,3.30106618,52.84005643,2.00715325,2.0827752,8.84651089,11.55098928,2.57069916,2.92676562,2.73509096,4.44766648,51.26968061,3.69405957,7.44058548,13.86172507,7.5241416,3.14075983,8.65086792,8.71465425,4.5698309,3.83501707,5.59665562,7.8027859,52.58655204,52.70852638,52.92048938,3.46487476,2.60653326,5.39194829,5.58008237,4.95439757,49.55341373,2.21739112,0.63433145,6.92381519,5.29597209,52.68161536,5.66942973,5.92751208,50.664235,13.06278491,2.61104649,3.10945566,2.85035027,3.18733888,3.11760562,2.79093045,7.99130825,2.81391773,18.80662736,50.14401627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_103,1.60546173,26.47860269,49.84577245,3.36676011,48.17959432,48.46244953,6.77806001,7.33782405,2.46881893,7.75397628,47.89956213,3.31813386,2.72858828,7.26898682,45.34166386,5.64356634,1.94379957,2.8044291,2.92422043,5.89667418,3.43381318,49.94452712,46.58435532,2.73461917,9.61662078,3.26260527,4.51598391,3.27674988,8.74332307,2.84193106,2.85839802,2.88615472,2.56510354,3.65157514,6.55334282,5.13004698,13.0480613,45.52768331,3.38270038,5.41028719,4.88503315,4.09273858,50.44248107,49.17314833,3.30106618,52.87507192,2.09304113,2.17663132,9.0387234,15.1682665,2.80029594,3.13590512,2.96499518,4.69063239,51.75815553,3.99521429,7.20896487,13.91507804,7.57077498,3.01144888,8.51882878,8.59050501,4.7104736,3.39656804,5.70766233,7.9677206,52.69109902,52.61118837,53.11387662,3.64713728,2.60542807,5.69289418,5.83648064,5.00604833,49.76293635,2.30041467,0.66504841,6.8322871,5.36984114,52.77280318,5.49967445,6.24558459,50.76332716,13.14377695,2.70364321,3.23183486,2.93261224,3.28901502,3.20342463,2.87085053,8.22742523,2.91137849,19.14338287,50.27637321,0.04630401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
